epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.853,4.57927,3.54321,3.48744,0.52865,0.09893,0.09644,0.029,3.11189,2.02708,2.65303,0.00019461,0.00019461,0.00019461
2,254.107,2.44496,1.47912,1.99955,0.69782,0.4947,0.50134,0.26229,1.82604,1.19514,1.58574,0.000390139,0.000390139,0.000390139
3,381.499,1.76267,1.00854,1.46558,0.71762,0.60458,0.64941,0.37219,1.53407,0.79471,1.33895,0.000583784,0.000583784,0.000583784
4,506.341,1.41009,0.81723,1.24604,0.75089,0.70029,0.73119,0.5146,0.97425,0.62207,1.07332,0.00058164,0.00058164,0.00058164
5,631.1,1.20544,0.6987,1.12994,0.77714,0.74543,0.76322,0.54254,0.88487,0.57096,1.01812,0.000576725,0.000576725,0.000576725
6,755.675,1.09883,0.64347,1.07258,0.76214,0.76757,0.77469,0.60223,0.74368,0.49622,0.94886,0.000570447,0.000570447,0.000570447
7,878.02,1.02369,0.5917,1.02627,0.80048,0.75608,0.77316,0.60583,0.70344,0.45582,0.93738,0.000562837,0.000562837,0.000562837
8,1003.11,0.96935,0.56485,1.0104,0.81621,0.75934,0.78146,0.59572,0.74353,0.45019,0.9202,0.000553931,0.000553931,0.000553931
9,1127.11,0.9029,0.53619,0.99048,0.7972,0.75639,0.77817,0.62062,0.61062,0.40058,0.89439,0.000543773,0.000543773,0.000543773
10,1248.43,0.86378,0.50842,0.96702,0.97258,0.7586,0.79195,0.64141,0.57338,0.37513,0.88642,0.000532412,0.000532412,0.000532412
11,1370.68,0.83735,0.49157,0.95527,0.97667,0.76825,0.79,0.65673,0.52477,0.36285,0.87289,0.000519905,0.000519905,0.000519905
12,1492.12,0.80228,0.47301,0.93653,0.96892,0.77298,0.7982,0.66835,0.52584,0.35848,0.87111,0.000506311,0.000506311,0.000506311
13,1615.76,0.75767,0.45771,0.93985,0.98553,0.76494,0.80014,0.67154,0.47749,0.32817,0.85589,0.000491697,0.000491697,0.000491697
14,1739.67,0.74015,0.44583,0.92139,0.96542,0.78071,0.80136,0.68182,0.45967,0.32116,0.84772,0.000476134,0.000476134,0.000476134
15,1859.14,0.7557,0.44302,0.92175,0.98519,0.78527,0.80534,0.68406,0.49983,0.33891,0.85518,0.000459699,0.000459699,0.000459699
16,1981.53,0.69914,0.42214,0.91254,0.98929,0.78251,0.80793,0.68303,0.45614,0.30735,0.84324,0.00044247,0.00044247,0.00044247
17,2100.72,0.67351,0.40893,0.90487,0.99176,0.7956,0.8104,0.70416,0.4127,0.28799,0.83494,0.000424532,0.000424532,0.000424532
18,2226.45,0.64554,0.39814,0.89812,0.97276,0.79323,0.80849,0.70634,0.41075,0.29089,0.83566,0.000405973,0.000405973,0.000405973
19,2350.89,0.6389,0.39209,0.89481,0.99277,0.79004,0.81046,0.70946,0.39757,0.28003,0.83306,0.000386882,0.000386882,0.000386882
20,2473.62,0.63345,0.38629,0.88845,0.99673,0.79167,0.8106,0.71304,0.40052,0.27417,0.82832,0.000367354,0.000367354,0.000367354
21,2597.45,0.62418,0.38221,0.88705,0.99429,0.78432,0.80905,0.71565,0.38605,0.2755,0.82599,0.000347482,0.000347482,0.000347482
22,2721.52,0.63296,0.38267,0.88569,0.99337,0.79644,0.81001,0.71954,0.39142,0.27323,0.82429,0.000327364,0.000327364,0.000327364
23,2857.92,0.58086,0.36831,0.88219,0.99701,0.79216,0.81033,0.72028,0.37237,0.26416,0.82134,0.000307098,0.000307098,0.000307098
24,2998.1,0.57262,0.36305,0.8774,0.99194,0.79855,0.81132,0.72453,0.36458,0.25822,0.82028,0.000286782,0.000286782,0.000286782
25,3131.29,0.58842,0.36627,0.87735,0.99691,0.79278,0.81082,0.73456,0.35508,0.25287,0.81911,0.000266516,0.000266516,0.000266516
26,3268.09,0.59232,0.36695,0.8763,0.9945,0.79757,0.81163,0.73249,0.34596,0.24773,0.81917,0.000246398,0.000246398,0.000246398
27,3411.59,0.58596,0.36425,0.87272,0.99338,0.79949,0.8116,0.73594,0.34319,0.2489,0.81782,0.000226526,0.000226526,0.000226526
28,3555.82,0.58332,0.36165,0.86766,0.99572,0.79494,0.81329,0.73731,0.3419,0.24656,0.81445,0.000206998,0.000206998,0.000206998
29,3701.08,0.5515,0.3502,0.86636,0.99609,0.79364,0.8125,0.74096,0.32378,0.24292,0.81349,0.000187907,0.000187907,0.000187907
30,3848.28,0.5501,0.34956,0.86549,0.99055,0.7982,0.81293,0.73839,0.33815,0.24613,0.81296,0.000169348,0.000169348,0.000169348
31,3993.2,0.52376,0.33946,0.86204,0.99473,0.79827,0.81252,0.73865,0.33512,0.24154,0.81313,0.00015141,0.00015141,0.00015141
32,4138.87,0.51397,0.33591,0.86379,0.99306,0.79856,0.81251,0.7401,0.33192,0.24281,0.81247,0.000134181,0.000134181,0.000134181
33,4282.26,0.52729,0.3391,0.85966,0.99296,0.79882,0.8133,0.7431,0.32077,0.23929,0.80945,0.000117746,0.000117746,0.000117746
34,4428.07,0.51837,0.33569,0.85875,0.99592,0.79452,0.81318,0.74304,0.32732,0.24021,0.81076,0.000102183,0.000102183,0.000102183
35,4579.36,0.49767,0.32653,0.85803,0.99617,0.79605,0.81373,0.74333,0.31401,0.23688,0.80857,8.7569e-05,8.7569e-05,8.7569e-05
36,4720.49,0.37855,0.26864,0.82219,0.99601,0.79734,0.81382,0.74256,0.31802,0.23641,0.80567,7.39751e-05,7.39751e-05,7.39751e-05
37,4859.32,0.36319,0.26039,0.82035,0.99621,0.79597,0.81386,0.7462,0.31289,0.2352,0.80559,6.14675e-05,6.14675e-05,6.14675e-05
38,4998.66,0.35604,0.25489,0.82041,0.99703,0.79609,0.81449,0.74827,0.30496,0.23359,0.80475,5.01071e-05,5.01071e-05,5.01071e-05
39,5139.73,0.34485,0.24974,0.8176,0.99645,0.7976,0.81523,0.74893,0.30163,0.23051,0.80467,3.99493e-05,3.99493e-05,3.99493e-05
